id,field,before,after
485,q_manual,"Chủ nghĩa duy vật biện chứng khẳng định rằng, nguyên nhân sinh ra kết quả phải có thêm yếu tố nào A Tác động","Chủ nghĩa duy vật biện chứng khẳng định rằng, nguyên nhân sinh ra kết quả phải có thêm yếu tố nào?"
485,options_manual,"[""Điều kiện"", ""Nguyên cũ"", ""Y chí""]","[""Điều kiện"", ""Tác động"", ""Nguyên cớ"", ""Ý chí""]"
487,q_manual,"Mối liên hệ thống nhất và đấu tranh, chuyển hoá giữa các mặt đối lập của mỗi sự vật, hiện tượng hoặc giữa các sự vật, hiện tượng với nhau gọi là khái niệm gì? A Chuyển hoá chất, lượng","Mối liên hệ thống nhất và đấu tranh, chuyển hóa giữa các mặt đối lập của mỗi sự vật, hiện tượng hoặc giữa các sự vật, hiện tượng với nhau gọi là khái niệm gì?"
487,options_manual,"[""Sự thống nhất"", ""Quan hệ hài hòa."", ""Mâu thuẫn""]","[""Chuyển hóa chất - lượng"", ""Sự thống nhất"", ""Quan hệ hài hòa"", ""Mâu thuẫn""]"
487,answers_manual,[2],[3]
524,q_manual,Theo chủ nghĩa duy vật lịch sử thì những biến đổi từ đầu tạo ra nhu cầu khách quan phải có sự biến đổi tương ứng trong kiến trúc thượng tầng?,"Theo chủ nghĩa duy vật lịch sử, những biến đổi từ đâu tạo ra nhu cầu khách quan phải có sự biến đổi tương ứng trong kiến trúc thượng tầng?"
567,q_manual,"Một sinh viên tâm sự với bạn về hoàn cảnh gia đình mình trong 10 năm đổi mới như sau: gia đình trước đây rất khó khăn. Khi bố từ quân đội về hưu có ít tiền, gia đình đầu tư mua máy và thiết bị sản xuất đậu phụ và làm tương bán. May quá, mặt hàng làm ra có thị trường tiêu thụ ngày càng rộng. Gia đình còn tận dụng các sản phẩm phụ để nuôi heo. Thế là thu nhập của gia đình tăng dần. Đến nay bố tôi đã trở thành một chủ xưởng sản xuất có 20 lao động thuê ngoài. Mẹ mình làm trợ lý, mình làm kế toán giúp mẹ. Mặc dù cuộc sống có những lúc khó khăn nhưng gia đình mình đã nỗ lực vượt qua để có cuộc sống sung túc. Nhà mình bây giờ khang trang, đủ tiện nghi sinh hoạt. Phân tích sự việc trên theo bình diện triết học thì vận dụng theo nguyên lý, quy luật nào là phù hợp?","Một sinh viên tâm sự với bạn về hoàn cảnh gia đình mình trong 10 năm đổi mới như sau: gia đình trước đây rất khó khăn. Khi bố từ quân đội về hưu có ít tiền, gia đình đầu tư mua máy và thiết bị sản xuất đậu phụ và làm tương bán. May quá, mặt hàng làm ra có thị trường tiêu thụ ngày càng rộng. Gia đình còn tận dụng các sản phẩm phụ để nuôi heo. Thế là thu nhập của gia đình tăng dần. Đến nay, bố tôi đã trở thành một chủ xưởng sản xuất có 20 lao động thuê ngoài. Mẹ mình làm trợ lý, mình làm kế toán giúp mẹ. Mặc dù cuộc sống có những lúc khó khăn nhưng gia đình mình đã nỗ lực vượt qua để có cuộc sống sung túc. Nhà mình bây giờ khang trang, đủ tiện nghi sinh hoạt. Phân tích sự việc trên theo bình diện triết học thì vận dụng theo nguyên lý, quy luật nào là phù hợp?"
597,q_manual,Nguyên nhân nào dẫn đến việc cộng đồng nhân loại chưa hình thành rõ nét và vẫn để nhân loại chưa được thực sự đặt ra trong xã hội cộng sản nguyên thủy?,Nguyên nhân nào dẫn đến việc cộng đồng nhân loại chưa hình thành rõ nét và vấn đề nhân loại chưa được thực sự đặt ra trong xã hội cộng sản nguyên thủy?
601,q_manual,"Trường phái triết học nào sau đây cho rằng vật chất bao gồm các yếu tố: kim, mốc, thủy, hỏa, thổ?","Trường phái triết học nào sau đây cho rằng vật chất bao gồm các yếu tố: kim, mộc, thủy, hỏa, thổ?"
602,q_manual,Giá trị của triết học duy tâm là gi?,Giá trị của triết học duy tâm là gì?
603,q_manual,"Theo quan điểm của chủ nghĩa duy vật biện chứng về mối quan hệ giữa tất nhiên và ngẫu nhiên, trong hoạt động thực tiễn, cần dựa vào điều gi?","Theo quan điểm của chủ nghĩa duy vật biện chứng về mối quan hệ giữa tất nhiên và ngẫu nhiên, trong hoạt động thực tiễn, cần dựa vào điều gì?"
603,options_manual,"[""Dựa vào ngẫu nhiên, dự phòng tất nhiên."", ""Dựa vào ngẫu nhiên, đề phòng tất nhiên"", ""Dựa vào cả tất nhiên và ngẫu nhiên"", ""Không dựa vào các yếu tố nào mang tính tất nhiên, ngẫu nhiên""]","[""Dựa vào ngẫu nhiên, dự phòng tất nhiên"", ""Dựa vào ngẫu nhiên, đề phòng tất nhiên"", ""Dựa vào cả tất nhiên và ngẫu nhiên"", ""Không dựa vào các yếu tố nào mang tính tất nhiên, ngẫu nhiên""]"
605,q_manual,"Van dụng triết học vào thực tế, ta không dưa trên quan điểm nào?","Vận dụng triết học vào thực tế, ta không dựa trên quan điểm nào?"
